score,num_covered_ligand_CGs,num_ligand_apolar_heavy_atoms_buried,frac_ligand_apolar_heavy_atoms_buried,ligand_mean_dist_buried,ligand_std_dist_buried,ligand_num_bun_donor_atoms,ligand_num_bun_acceptor_atoms,sidechain_num_bun_donor_atoms,sidechain_num_bun_acceptor_atoms,total_num_bun_donor_atoms,total_num_bun_acceptor_atoms,total_num_bun_atoms,pose_identifier,pose_rank,tag
-12.697374,4,10,1.0,3.19432,1.02192,0,1,1,2,1,3,4,0,1,1_pose0_no_CG.pdb
-9.426269,4,10,1.0,3.34922,0.97184,0,1,0,5,0,6,6,1,2,2_pose1.pdb
-9.026668,4,10,1.0,2.88438,0.97259,0,1,1,2,1,3,4,51,3,3_pose51.pdb
-8.991988,5,10,1.0,3.35878,0.8501,0,2,4,4,4,6,10,2,4,4_pose2.pdb
-8.967667,3,10,1.0,3.20618,0.88959,1,1,2,1,3,2,5,5,5,5_pose5.pdb
-8.693647,4,10,1.0,3.27998,0.87328,0,2,1,1,1,3,4,22,6,6_pose22.pdb
-8.650527,4,10,1.0,2.67473,1.22912,2,1,0,0,2,1,3,23,7,7_pose23.pdb
-8.400523,3,9,0.9,2.00285,1.7211,1,1,0,0,1,1,2,45,8,8_pose45.pdb
-8.386909,4,10,1.0,3.04097,1.12016,0,1,2,2,2,3,5,29,9,9_pose29.pdb
-8.24133,5,10,1.0,3.20854,1.3068,0,1,2,8,2,9,11,8,10,10_pose8.pdb
-7.946422,3,10,1.0,3.62369,1.25685,1,1,1,0,2,1,3,77,11,11_pose77.pdb
-6.963248,3,10,1.0,1.84402,0.87952,1,2,1,1,2,3,5,71,12,12_pose71.pdb
-6.934455,3,10,1.0,3.27197,1.18365,1,1,2,2,3,3,6,18,13,13_pose18.pdb
-6.088764,2,10,1.0,3.29648,1.77031,2,3,0,0,2,3,5,70,14,14_pose70.pdb
-5.974934,3,10,1.0,3.72605,1.23997,1,2,0,0,1,2,3,24,15,15_pose24.pdb
-5.94383,2,9,0.9,1.65064,1.47135,2,1,0,0,2,1,3,49,16,16_pose49.pdb
-5.875521,2,10,1.0,3.77934,1.2812,1,3,0,0,1,3,4,13,17,17_pose13.pdb
-5.872381,3,9,0.9,1.90363,1.60663,1,1,5,0,6,1,7,50,18,18_pose50.pdb
-5.767238,1,8,0.8,1.81725,1.95653,2,1,0,0,2,1,3,79,19,19_pose79.pdb
-5.745337,4,10,1.0,4.06844,1.5166,2,0,6,3,8,3,11,83,20,20_pose83.pdb
-5.73407,4,10,1.0,1.99065,1.42427,0,1,3,2,3,3,6,69,21,21_pose69.pdb
-5.68048,4,10,1.0,5.05682,1.00058,2,4,1,0,3,4,7,99,22,22_pose99.pdb
-5.444741,4,10,1.0,6.64824,1.04118,0,3,3,1,3,4,7,78,23,23_pose78.pdb
-5.322705,3,10,1.0,3.42366,1.58317,2,3,1,1,3,4,7,12,24,24_pose12.pdb
-5.317877,4,10,1.0,4.27852,1.13842,1,3,1,3,2,6,8,44,25,25_pose44.pdb
-5.256008,4,10,1.0,4.10769,1.84053,1,2,9,0,10,2,12,31,26,26_pose31.pdb
-5.251799,2,10,1.0,3.77142,1.07279,2,3,0,0,2,3,5,94,27,27_pose94.pdb
-5.090806,4,10,1.0,3.49355,1.29737,1,2,0,1,1,3,4,34,28,28_pose34.pdb
-5.062614,3,10,1.0,2.27605,0.66787,2,1,5,5,7,6,13,81,29,29_pose81.pdb
-5.037815,2,10,1.0,4.8193,2.22658,2,2,0,1,2,3,5,65,30,30_pose65.pdb
